1,0,7
2,0,6
3,0,5
4,0,4
5,-2.5,3
6,-2.5,2
7,2.5,1.67
8,-5,1.33
9,-2.5,1
10,2.5,0.67
11,-5,0.33
12,-2.5,0
13,2.5,-0.33
14,-5,-0.67
15,0,-1
16,2.5,-1.33
17,-5,-1.67
18,0,-2
19,5,-2.33
20,-2.5,-2.67
21,0,-3
22,5,-3.33
23,-2.5,-3.67
24,0,-4
25,5,-4.33
26,-2.5,-4.67
27,2.5,-5
28,5,-5.33
29,-2.5,-5.67
30,2.5,-6
31,2.5,-7
32,2.5,-8
33,0,-9
34,0,-10
35,0,-11
36,0,-12
37,-2.5,-13
38,-2.5,-14
39,-2.5,-15
40,-2.5,-16
